name,emergency,addr:city,addr:street,addr:housenumber,addr:postcode,healthcare,website,phone,opening_hours,operator,beds,old_name,healthcare:speciality,social_facility:for,social_facility,wheelchair
Martin County Hospital,yes,Stanton,East Interstate 20,600,79782.0,hospital,https://www.martincountyhospital.org/,+1 432 607 3200,24/7,Martin County Hospital District,18.0,,,,,
Matagorda Regional Medical Center,yes,Bay City,7th Street,104,77465.0,hospital,https://www.matagordaregional.org/,+1 979 245 6383,24/7,,,,,,,
Mayhill Hospital,no,Denton,South Mayhill Road,2809,76208.0,hospital,https://www.mayhillhospital.com/,+1 940 239 3000,,,,,psychiatry,,,
Mays Cancer Center,no,San Antonio,Wurzbach Road,7979,78229.0,hospital,https://www.uthscsa.edu/patient-care/cancer-center,+1 210 450 1000,,UT Health San Antonio,,UT Medicine Cancer Therapy Research Center,oncology,,,
McAllen Heart Hospital,yes,McAllen,South D Street,1900,78503.0,hospital,https://www.mcallenhearthospital.com/,+1 956 994 2000,24/7,Universal Health Services,,,,,,
McAllen Medical Center,yes,McAllen,West Expressway 83,301,78503.0,hospital,https://www.mcallenmedicalcenter.com/,+1 956 632 4000,24/7,Universal Health Services,,,,,,
McCamey County Hospital District,yes,McCamey,South Highway 305,2500,79752.0,hospital,http://www.mccameyhospitaldistrict.org/,+1 432 652 8626,24/7,McCamey County Hospital District,14.0,,,,,
M. D. Anderson Cancer Center,,,,,,hospital,,,,,,,,,,
Medical Arts Hospital,yes,Lamesa,North Bryan Avenue,2200,79331.0,hospital,http://medicalartshospital.org/,+1 806 872 2183,24/7,,,,,,,
Medical Center Hospital,yes,Odessa,West 4th Street,500,79761.0,hospital,http://mchodessa.com/,+1 432 640 6000,24/7,Medical Center Health System,,,,,,
Medical City Alliance,yes,Fort Worth,North Tarrant Parkway,3101,76177.0,hospital,https://medicalcityalliance.com/,+1 817 639 1000,24/7,HCA,75.0,,,,,
Medical City Arlington,yes,Arlington,Matlock Road,3301,76015.0,hospital,https://medicalcityarlington.com/,+1 682 509 6200,24/7,HCA,,Medical Center of Arlington,,,,
Medical City Dallas,yes,Dallas,Forest Lane,7777,75230.0,hospital,https://medicalcityhospital.com/,+1 972 566 7000,24/7,HCA,,,,,,
Medical City Denton,yes,Denton,South Interstate 35,3535,76210.0,hospital,https://medicalcitydenton.com/,+1 940 384 3535,24/7,HCA,,,,,,
Medical City Fort Worth,yes,Fort Worth,8th Avenue,900,76104.0,hospital,https://medicalcityfortworth.com/,+1 817 877 5292,24/7,HCA,,Plaza Medical Center of Fort Worth,,,,
Medical City Green Oaks Hospital,no,Dallas,Clodus Fields Drive,7808,75251.0,hospital,https://medicalcitygreenoaks.com/,+1 972 991 9504,,HCA,,,psychiatry,,,
Medical City Las Colinas,yes,Irving,North MacArthur Boulevard,6800,75039.0,hospital,https://medicalcitylascolinas.com/,+1 972 969 2000,24/7,HCA,,Las Colinas Medical Center,,,,
Medical City Lewisville,yes,Lewisville,West Main Street,500,75057.0,hospital,https://medicalcitylewisville.com/,+1 972 420 1000,24/7,HCA,,Medical Center of Lewisville,,,,
Medical City McKinney,yes,McKinney,Medical Center Drive,4500,75609.0,hospital,https://medicalcitymckinney.com/,+1 972 547 8000,24/7,HCA,260.0,McKinney Medical Center,,,,
Medical City North Hills,yes,North Richland Hills,Booth Calloway Road,4401,76180.0,hospital,https://medicalcitynorthhills.com/,+1 817 255 1000,24/7,HCA,,North Hills Hospital,,,,
Medical City Plano,yes,Plano,West 15th Street,3901,75075.0,hospital,https://medicalcityplano.com/,+1 972 596 6800,24/7,HCA,,Medical Center of Plano,,,,
Medical City Weatherford,yes,Weatherford,East Anderson Street,713,76086.0,hospital,https://medicalcityweatherford.com/,+1 682 582 1000,24/7,HCA,,Campbell Health System,,,,
Medina Regional Hospital,yes,Hondo,Avenue E,3100,78861.0,hospital,https://www.medinahospital.net/,+1 830 426 7700,24/7,Medina Healthcare System,,,,,,
Memorial Herman CCC,,,,,,hospital,,,,,,,,,,
Memorial Hermann Cypress Hospital,yes,Cypress,Northwest Freeway,27800,77433.0,hospital,http://www.memorialhermann.org/locations/cypress/,+1 346 231 4000,24/7,Memorial Hermann,,,,,,
Memorial Hermann Greater Heights Hospital,yes,Houston,North Loop West Frontage Road,1635,77008.0,hospital,http://www.memorialhermann.org/locations/greater-heights/,+1 713 867 2000,24/7,Memorial Hermann,260.0,,,,,
Memorial Hermann Katy Hospital,yes,Katy,Katy Freeway,23900,77494.0,hospital,http://www.memorialhermann.org/locations/katy/,+1 281 644 7000,24/7,Memorial Hermann,,,,,,
Memorial Hermann Memorial City Medical Center,yes,Houston,Gessner Road,921,77024.0,hospital,http://www.memorialhermann.org/locations/memorial-city/,+1 713 242 3000,24/7,Memorial Hermann,,,,,,yes
Memorial Hermann Northeast Hospital,yes,Humble,Memorial North,18951,77338.0,hospital,http://www.memorialhermann.org/locations/northeast/,+1-281-540-7700,24/7,Memorial Hermann,255.0,,general;cardiology;radiology;neurology;trauma;paediatrics;internal;orthopaedics;surgery;gynaecology;physiotherapy,,,
Memorial Hermann Pearland,,,,,,hospital,,,,,,,,,,
Memorial Hermann Southeast Hospital,yes,Houston,Astoria Boulevard,11800,77089.0,hospital,http://www.memorialhermann.org/locations/southeast/,+1 281 929 6100,24/7,Memorial Hermann,293.0,,,,,
Memorial Hermann Southwest Hospital,yes,Houston,Beechnut Street,7600,77074.0,hospital,http://www.memorialhermann.org/locations/southwest/,+1 713 456 5000,24/7,Memorial Hermann,547.0,,,,,
Memorial Hermann Sugar Land Hospital,yes,Sugar Land,West Grand Parkway South,17500,77479.0,hospital,http://www.memorialhermann.org/locations/sugar-land/,+1 281 725 5000,24/7,Memorial Hermann,149.0,,,,,
Memorial Hermann Surgical Hospital First Colony,yes,Sugar Land,Southwest Freeway,16906,77479.0,hospital,http://memorialhermannfirstcolony.com/,+1 281 243 1000,24/7,,6.0,Sugar Land Surgical Hospital,surgery,,,
Memorial Hermann Surgical Hospital Kingwood,yes,Kingwood,Kingwood Medical Drive,300,77339.0,hospital,http://memorialhermannkingwood.com/,+1 281 312 4000,24/7,,10.0,,,,,
Memorial Hermann-Texas Medical Center,yes,Houston,Fannin Street,6411,77030.0,hospital,http://www.memorialhermann.org/locations/texas-medical-center/,+1 713 704 4000,24/7,,,,,,,
Memorial Hermann The Woodlands Medical Center,yes,The Woodlands,Pinecroft Drive,9250,77380.0,hospital,http://www.memorialhermann.org/locations/the-woodlands/,+1 713 897 2300,24/7,Memorial Hermann,,,,,,
Memorial Hermann Tomball Hospital,yes,Tomball,Tomball Parkway,24429,77375.0,hospital,http://www.memorialhermann.org/tomball/,+1 281 516 0911,24/7,Memorial Hermann,8.0,,,,,
Memorial Hospital,yes,Dumas,East 2nd Street,224,79029.0,hospital,http://www.mchd.net/,+1 806 935 7171,24/7,Moore County Hospital District,25.0,,,,,
Memorial Hospital,yes,Seminole,Northwest 8th Street,209,79360.0,hospital,https://seminolehospitaldistrict.com/,+1 432 758 5811,24/7,Seminole Hospital District,,,,,,
Memorial Medical Center,yes,Port Lavaca,North Virginia Street,815,77979.0,hospital,http://www.mmcportlavaca.com/,+1 361 552 6713,24/7,,,,,,,
Methodist Campus for Continuing Care,yes,Richardson,West Campbell Road,401,75080.0,hospital,https://www.methodisthealthsystem.org/our-locations/methodist-campus-for-continuing-care/,+1 469 204 1000,24/7,Methodist Health System,200.0,Methodist - Richardson Medical Center,,,,
Methodist Charlton Medical Center,yes,Dallas,West Wheatland Road,3500,75237.0,hospital,https://www.methodisthealthsystem.org/methodist-charlton-medical-center/,+1 214 947 7777,24/7,Methodist Health System,,Margaret Jonsson Charlton Methodist Hospital,,,,
Methodist Dallas Medical Center,yes,Dallas,North Beckley Avenue,1441,75203.0,hospital,https://www.methodisthealthsystem.org/methodist-dallas-medical-center/,+1 214 947 8181,24/7,Methodist Health System,585.0,,,,,yes
Methodist Hospital,yes,San Antonio,Floyd Curl Drive,7700,78229.0,hospital,https://sahealth.com/locations/methodisthospital/,+1 210 575 4000,24/7,HCA,,,,,,
Methodist Hospital for Surgery,yes,Addison,Dallas Parkway,17101,75001.0,hospital,https://methodisthospitalforsurgery.com/,+1 469 248 3900,24/7,,,,,,,
Methodist Hospital South,yes,Jourdanton,Highway 97 East,1905,78026.0,hospital,https://sahealth.com/locations/methodisthospitalsouth/,+1 830 769 3515,24/7,Methodist Healthcare,,South Texas Regional Medical Center,,,,
Methodist Mansfield Medical Center,yes,Mansfield,East Broad Street,2700,76063.0,hospital,https://www.methodisthealthsystem.org/methodist-mansfield-medical-center/,+1 682 242 2000,24/7,Methodist Health System,,,,,,
Methodist McKinney Hospital,yes,McKinney,West Eldorado Parkway,8000,75070.0,hospital,https://methodistmckinneyhospital.com/,+1 972 569 2700,24/7,,21.0,,,,,
Methodist Rehabilitation Hospital,no,Dallas,West Wheatland Road,3020,75237.0,hospital,http://www.methodist-rehab.com/,+1 972 708 8600,,,,,,,,
Methodist Richardson Medical Center,yes,Richardson,President George Bush Highway,2831,75082.0,hospital,https://www.methodisthealthsystem.org/methodist-richardson-medical-center/,+1 469-204-1000,24/7,Methodist Health System,,,,,,
Methodist Specialty and Transplant Hospital,yes,San Antonio,Floyd Curl Drive,8026,78229.0,hospital,https://sahealth.com/locations/methodistspecialty/,+1 210 575 8110,24/7,HCA,,,,,,
Methodist Stone Oak Hospital,yes,San Antonio,East Sonterra Boulevard,1139,78258.0,hospital,https://sahealth.com/locations/methodiststoneoak/,+1 210 638 2000,24/7,HCA,,,,,,
Methodist Surgery Ambulatory Hospital,yes,San Antonio,Huebner Road,9150,78240.0,hospital,https://sahealth.com/locations/methodistambulatory/,+1 210 575 5000,24/7,HCA,31.0,,,,,
Methodist Texsan Heart Hospital,yes,San Antonio,Interstate Highway 10,6700,78201.0,hospital,https://sahealth.com/locations/methodisttexsan/,+1 210 736 6700,24/7,HCA,,,,,,
Metroplex Health System,yes,Killeen,South Clear Creek Road,2201,76549.0,hospital,http://www.mplex.org/,+1 254 526 7523,24/7,Adventist Health System,245.0,,,,,
Metropolitan Methodist Emergency Center at the Quarry,,,,,,hospital,,,,,,,,,,
Metropolitan Methodist Hospital,yes,San Antonio,McCullough Avenue,1310,78212.0,hospital,https://sahealth.com/locations/metropolitanmethodist/,+1 210 757 2200,24/7,HCA,,,,,,
Mexia State Supported Living Center,no,Mexia,Chapel Drive,540,76667.0,hospital,https://www.dads.state.tx.us/services/sslc/,,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
Michael E. DeBakey VA Medical Center,yes,Houston,Holcombe Boulevard,2002,77030.0,hospital,https://www.houston.va.gov/,+1 713 791 1414,24/7,United States Department of Veterans Affairs,,,,,,
Mid Jefferson Extended Care Hospital,no,Nederland,Highway 365,2600,77627.0,hospital,http://www.midjeffextendedcare.com/,+1 409 726 8700,,Mid Jefferson Hospital,,,,,,
Midland Memorial Hospital,yes,Midland,Rosalind Redfern Grover Parkway,400,79703.0,,http://www.midland-memorial.com/,+1 432 221 1111,24/7,,,,,,,
Midland Memorial Hospital West Campus,no,Midland,Andrews Highway,4214,79703.0,,http://www.midland-memorial.com/,,,,,,,,,
Millwood Hospital,no,Arlington,North Cooper Street,1011,76011.0,hospital,https://www.millwoodhospital.com/,+1 817 261 3121,,,128.0,,psychiatry,,,
Mission Regional Medical Center,yes,Mission,South Bryan Road,900,78572.0,hospital,https://www.missionrmc.org/,+1 956 323 9000,24/7,Prime Healthcare,,,,,,
Mission Trail Baptist Hospital,yes,San Antonio,Research Plaza,3333,78235.0,hospital,https://www.baptisthealthsystem.com/our-locations/our-locations-detail/mission-trail-baptist-hospital,+1 210 297 3000,24/7,TH Medical,,,,,,
Mitchell County Hospital,yes,Colorado City,West Interstate 20,997,79512.0,hospital,https://www.mitchellcountyhospital.com/,+1 325 728 3431,24/7,,,,,,,
Muenster Memorial Hospital,yes,Muenster,North Maple Street,605,76252.0,hospital,http://www.muensterhospital.com/,+1 940 759 2271,24/7,,,,,,,
Muleshoe Area Medical Center,yes,Muleshoe,South 1st Street,708,79347.0,hospital,https://www.muleshoehospital.com/,+1 806 272 4524,24/7,,,,,,,
Nacogdoches Medical Center,yes,Nacogdoches,Northeast Stallings Drive,4920,75965.0,hospital,https://www.nacmedicalcenter.com/,+1 866 697 5864,24/7,TH Medical,,,,,,
Nacogdoches Memorial Hospital,yes,Nacogdoches,North Mound Street,1204,75961.0,hospital,https://www.nacmem.org/,+1 936 564 4611,24/7,Nacogdoches Memorial Health,,,,,,
Navarro Regional Hospital,yes,Corsicana,West Highway 22,3201,75110.0,hospital,https://www.navarrohospital.com/,+1 903 654 6800,24/7,,,,,,,
Nexus Children's Hospital,no,Houston,Woodland Park Drive,2929,77082.0,hospital,https://www.nhsltd.com/services/childrens-hospital/,+1 714 289 2400,,Nexus Health Systems,40.0,Healthbridge Childrens's Hospital Of Houston,paediatrics,,,
Nix Medical Center,yes,San Antonio,Navarro Street,414,78205.0,hospital,https://www.nixhealth.com/Locations/Nix-Medical-Center.aspx,+1 210 271 1800,24/7,Nix Health Care System,,,,,,
Nocona General Hospital,yes,Nocona,Park Road,100,76255.0,hospital,http://noconageneral.com/,+1 940 825 3235,24/7,,,,,,,
North Central Baptist Hospital,yes,San Antonio,Madison Oak Drive,520,78258.0,hospital,https://www.baptisthealthsystem.com/our-locations/north-central-baptist-hospital,+1 210 297 4000,24/7,TH Medical,,,,,,
North Cypress Medical Center,yes,Cypress,Northwest Freeway,21214,77429.0,hospital,https://www.ncmc-hospital.com/,+1 832 912 3500,24/7,,139.0,,,,,
Northeast Baptist Hospital,yes,San Antonio,Village Drive,8811,78217.0,hospital,https://www.baptisthealthsystem.com/our-locations/northeast-baptist-hospital,+1 210 297 2000,24/7,,,,,,,
Northeast Methodist Hospital,yes,Live Oak,Judson Road,12412,78233.0,hospital,https://sahealth.com/locations/northeastmethodist/,+1 210 757 7000,24/7,HCA,,,,,,
North Runnels Hospital,yes,Winters,TX 153,7821,79467.0,hospital,,+1 325 754 4553,24/7,,25.0,,,,,
North Texas Medical Center,yes,Gainesville,Hospital Boulevard,1900,76240.0,hospital,https://www.ntmconline.net/,+1 940 665 1751,24/7,,,,,,,
North Texas State Hospital Vernon Campus,no,Vernon,College Drive,4730,76384.0,,https://dshs.texas.gov/mhhospitals/default.shtm,+1 940 552 9901,,Texas Department of State Health Services,,,,,,
North Texas State Hospital Wichita Falls Campus,no,Wichita Falls,Kemp Boulevard,6515,76308.0,,https://dshs.texas.gov/mhhospitals/default.shtm,,,Texas Department of State Health Services,,,,,,
North West Texas Healthcare System,yes,Amarillo,South Coulter Street,1501,79106.0,hospital,https://www.nwths.com/,+1 806 354 1000,24/7,Northwest Texas Healthcare System,,,,,,
Northwest Texas Physician Group,no,Canyon,"23rd Street, Suite C",301,79015.0,,,8064525522,,,,,,,,
OakBend Medical Center,yes,Richmond,Jackson Street,1705,77469.0,hospital,https://www.oakbendmedcenter.org/,+1 281 341 3000,24/7,,,,,,,
Oceans Behavioral Hospital Permian Basin,no,Midland,South FM 1788,3300,79706.0,hospital,https://oceanshealthcare.com/permian-basin,+1 432 561 5915,,Oceans Healthcare,,,psychiatry,,,
Ochiltree General Hospital,yes,Perryton,South Garrett Drive,3101,79070.0,hospital,https://www.ochiltreehospital.com/,+1 806 435 3606,24/7,,,,,,,
Odessa Regional Medical Center,yes,Odessa,East 6th Street,520,79761.0,hospital,https://odessaregionalmedicalcenter.org/,+1 432 582 8000,24/7,Steward Health Care,,,,,,
Odessa Regional Medical Center South Campus,no,,,,,hospital,,,,,,,,,,
Olin E. Teague Veterans' Medical Center,yes,Temple,Veterans Memorial Drive,1901,76504.0,hospital,https://www.centraltexas.va.gov/,+1 254 778 4811,24/7,United States Department of Veterans Affairs,,,,,,
Olney Hamilton Hospital,yes,Olney,West Hamilton Street,901,76374.0,hospital,https://olneyhamiltonhospital.com/,+1 940 564 5521,24/7,,,,,,,
Otto Kaiser Memorial Hospital,yes,Kenedy,South US Highway 181,3349,78119.0,hospital,http://www.okmh.org/,+1 830 583 3401,24/7,,,,,,,
Our Children's House,no,Dallas,Empire Central,1340,75247.0,hospital,https://www.childrens.com/specialties-services/och,+1 214 867 6700,,Children's Health,,,paediatrics,,,
Palacios Community Medical Center,yes,Palacios,Green Avenue,311,77465.0,hospital,http://www.palacioshospital.net/,+1 361 972 2511,24/7,,,Palacios Community Hospital,,,,
Palestine Regional Medical Center,yes,Palestine,South Loop 256,2900,75801.0,hospital,https://www.palestineregional.com/,+1 903 731 1000,24/7,,,,,,,
Palestine Regional Medical Center - West Campus,no,Palestine,South Loop 256,4000,75801.0,hospital,https://www.palestineregional.com/,+1 903 731 1000,,Palestine Regional Medical Center,,,,,,
Palo Pinto General Hospital,yes,Mineral Wells,Southwest 25th Avenue,400,76067.0,hospital,https://www.ppgh.com/,+1 940 325 7891,24/7,,,,,,,
Pampa Regional Medical Center,yes,Pampa,Medical Plaza,1,79065.0,hospital,https://www.prmctx.com/,+1 806 665 3721,24/7,Prime Healthcare,,,,,,
PAM Rehabilitation Hospital of Beaumont,no,Beaumont,Plaza 10 Drive,3340,77701.0,hospital,http://www.warmsprings.org/our-facilities/outpatient-rehabilitation/rehabilitation-hospital-beaumont/,+1 409 835 0835,,Post Acute Medical,,HealthSouth Rehabilitation Center,,,,
PAM Rehabilitation Hospital of Victoria,no,Victoria,James Coleman Drive,101,77904.0,hospital,http://www.warmsprings.org/our-facilities/outpatient-rehabilitation/warm-springs-rehabilitation-center-victoria/,+1 361 220 7803,,Post Acute Medical,,,,,,
PAM Specialty Hospital of Luling,no,Luling,Memorial Drive,200,78468.0,hospital,http://www.warmsprings.org/our-facilities/hospitals/warm-springs-specialty-hospital-luling/,+1 830 875 8400,,Post Acute Medical,,Warm Spring Rehabilitation Hospital,,,,
PAM Specialty Hospital of Victoria North,no,Victoria,Medical Drive,102,77904.0,hospital,http://www.warmsprings.org/our-facilities/hospitals/warm-springs-specialty-hospital-victoria/,+1 361 576 6200,,Post Acute Medical,,Victoria Warm Springs Rehabilitation Hospital,,,,
Panhandle Surgery Hospital,no,Amarillo,West 9th Avenue,7100,79106.0,hospital,http://www.physurg.com/,+1 806 212 0247,,Physicians Surgical Hospitals,,,surgery,,,
Paris Regional Medical Center,yes,Paris,Deshong Drive,865,75460.0,hospital,http://parisregionalmedical.com/,+1 903 785 4521,24/7,,,,,,,
Paris Regional Medical Center – South Campus,no,Paris,Clarksville Street,820,75460.0,hospital,http://parisregionalmedical.com/,,,Paris Regional Medical Center,,,,,,
Parkland Memorial Hospital,yes,Dallas,Harry Hines Boulevard,5200,75235.0,hospital,https://www.parklandhospital.com/phhs/home.aspx,+1 214 590 8000,24/7,Parkland Health & Hospital System,,,,,,
Park Plaza Hospital,yes,Houston,Hermann Drive,1313,77004.0,hospital,https://www.parkplazahospital.com/,+1 713 527 5000,24/7,HCA,,,,,,
Parkview Hospital,yes,Wheeler,South Sweetwater Street,901,79096.0,hospital,http://wheelertexas.org/businesses/parkview/,+1 806 826 5581,24/7,,,,,,,
Parkview Regional Hospital,yes,Mexia,South Bonham Street,600,76667.0,hospital,https://www.parkviewregional.com/,+1 254 562 5332,24/7,,,,,,,
Parmer Medical Center,yes,Friona,Cleveland Avenue,1307,79035.0,hospital,http://www.parmermedicalcenter.com/,+1 806 250 2754,24/7,,,,,,,
Pearland Meidcal Center,,Pearland,Shadow Creek Parkway,10970,77584.0,hospital,,,,,,,,,,
Pecos County Memorial Hospital,yes,Fort Stockton,West IH-10,387,79735.0,hospital,http://www.pcmhfs.com/,+1 432 336 2004,24/7,,,,,,,
Permian Regional Medical Center,yes,Andrews,Hospital Drive,720,79714.0,hospital,http://permianregional.com/,+1 432 523 2200,24/7,,,Permian General Hospital,,,,
Peterson Regional Medical Center,yes,Kerrville,Hill Country Drive,551,78028.0,hospital,https://www.petersonhealth.com/,+1 830 896 4200,24/7,,,,,,,
Pine Creek Medical Center,yes,Dallas,Harry Hines Boulevard,9032,75235.0,hospital,https://pinecreekmedicalcenter.com/,+1 214 231 2273,24/7,,,,,,,
Pine Valley Specialty Hospital,no,Houston,South Loop East,6160,77087.0,hospital,http://www.pinevalleyspecialtyhospital.com/,+1 713 640 2400,,Concord Healthcare Group,,Gullway General Hospital,,,,
Plains Memorial Hospital,yes,Dimmitt,West Halsell Street,310,79027.0,hospital,https://www.plainsmemorial.com/,+1 806 647 2191,24/7,Castro County Healthcare,,,,,,
Plum Creek Speciality Hospital,no,Amarillo,Plum Creek Drive,5601,79124.0,hospital,http://specialtyhospitalplumcreek.com/,+1 806 351 1000,,Concord Healthcare Group,,Amarillo Integrated Health Services Hospital,,,,
Promise Hospital of Dallas,no,Dallas,Harry Hines Boulevard,7955,75235.0,hospital,https://www.promise-dallas.com/,+1 214 637 0000,,Promise Healthcare,,Dallas Integrated Health Services Hospital;Texas Specialty Hospital,,,,
Promise Hospital of Wichita Falls,no,Wichita Falls,Grace Street,1103,76301.0,hospital,https://www.promise-wichitafalls.com/,+1 940 720 6633,,,,Wichita Falls Integrated Health Services Hospital,,,,
Providence Health Center,yes,Waco,Medical Parkway,6901,76712.0,hospital,https://www.providence.net/,+1 254 751 4000,24/7,Providence Healthcare Network,,,,,,
Providence Hospital of North Houston,yes,Houston,Red Oak Drive,16750,77090.0,hospital,https://providence.hospital/,+1 281 453 7110,24/7,,,,,,,
Quail Creek Surgical Hospital,yes,Amarillo,Plum Creek Drive,6819,79106.0,hospital,http://www.physurg.com/,+1 806 354 6100,24/7,Physicians Surgical Hospitals,20.0,,surgery,,,
Quentin Mease Hospital,no,Houston,North MacGregor Way,3601,77004.0,hospital,https://www.harrishealth.org/locations-hh/Pages/quentin-mease.aspx,+1 713 873 3700,,Harris Health,,,,,,
Rankin County Hospital District,yes,Rankin,Spur 576,1611,79731.0,hospital,https://www.rankinhospital.org/,+1 432 693 1200,24/7,,,,,,,
Reagan Hospital District,yes,Big Lake,North Main Avenue,1300,76932.0,hospital,http://www.reaganhealth.com/,+1 325 884 2561,24/7,,,,,,,
Reeves County Hospital,yes,Pecos,Texas Street,2323,79772.0,hospital,http://www.reevescountyhospital.com/,+1 432 447 3551,24/7,Reeves County Hospital District,,,,,,
Refugio County Memorial Hospital,yes,Refugio,Swift Street,107,78377.0,hospital,http://refugiohospital.com/,+1 361 526 2321,24/7,,,,,,,
Reliant Rehabilitation Hospital,no,,,,,,,,,,,,,,,
Resolute Health Hospital,yes,New Braunfels,Creekside Crossing,555,78130.0,hospital,https://www.resolutehealth.com/,+1 830 500 6900,24/7,TH Medical,128.0,,,,,
Riceland Medical Center,yes,Winnie,Broadway Avenue,538,77665.0,hospital,https://www.ricelandhealthcare.com/riceland-medical-center/,+1 409 296 6000,24/7,Riceland Healthcare,25.0,,,,,
Rice Medical Center,yes,Eagle Lake,South Austin Road,600,77434.0,hospital,http://www.ricemedicalcenter.net/,+1 979 234 5571,24/7,,25.0,,,,,
Richmond State Supported Living Center,no,Richmond,Preston Street,2100,77469.0,hospital,https://www.dads.state.tx.us/services/sslc/,+1 281 232 2075,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
Rio Grande Regional Hospital,yes,McAllen,East Ridge Road,101,78503.0,hospital,https://riohealth.com/,+1 956 632 6000,24/7,HCA Healthcare Gulf Coast Division,,,,,,
Rio Grande State Center,no,Harlingen,South Rangerville Road,1401,78552.0,hospital,https://www.dads.state.tx.us/services/sslc/,,,Texas Department of State Health Services,,,,mental_health,group_home,
Riverside General Hospital,yes,Houston,Ennis Street,3204,77004.0,hospital,http://www.riversidegeneralhospital.org/,+1 713 526 2441,24/7,,,,,,,
Rolling Plains Memorial Hospital,yes,Sweetwater,East Arizona Avenue,200,79556.0,hospital,https://www.rpmh.net/,+1 325 235 1701,24/7,,,,,,,
Rollins Brook Community Hospital,yes,Lampasas,North Key Avenue,608,76550.0,hospital,http://www.mplex.org/about-us/rollins-brook,+1 512 556 3682,24/7,Metroplex Health System,25.0,,,,,
Rusk State Hospital,no,Rusk,North Dickinson Drive,805,75785.0,,https://dshs.texas.gov/mhhospitals/default.shtm,,,Texas Department of State Health Services,,,,mental_health,,
Sabine County Hospital,yes,Hemphill,Worth Street,2301,75948.0,hospital,http://www.sabinecountyhospital.com/,+1 409 787 3300,24/7,,25.0,,,,,
Saint Camillus Medical Center,yes,Hurst,Hurst Town Center Drive,1612,76054.0,hospital,https://saintcamillusmedicalcenter.com/,+1 817 519 3700,24/7,,23.0,,,,,
Saint David's Georgetown Hospital,yes,Georgetown,Scenic Drive,2000,78626.0,hospital,https://stdavids.com/location/st-davids-georgetown-hospital,+1 512 943 3000,24/7,HCA,111.0,Georgetown Hospital,,,,
Saint David's Medical Center,yes,Austin,East 32nd Street,919,78705.0,hospital,https://stdavids.com/location/st-davids-medical-center,+1 512 476 7111,24/7,HCA,,,,,,
Saint David's North Austin Medical Center,yes,Austin,North MoPac Expressway,12221,78758.0,hospital,https://stdavids.com/location/st-davids-north-austin-medical-center,+1 512 901 1000,24/7,HCA,,,,,,
